system:index,cellCount,psim_id,scym9,state,year,yield_tha,yield_tha_noW,.geo
00000000000000005461,71601,27129.0,1.0,IN,2011,13271,12759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005462,71597,27130.0,1.0,IN,2011,13267,12890,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005463,71598,27131.0,1.0,IN,2011,16118,15691,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005464,71600,27132.0,1.0,IN,2011,19017,18959,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005465,71612,27133.0,1.0,IN,2011,17575,17594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005466,71607,27134.0,1.0,IN,2011,14443,14339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005467,71599,27135.0,1.0,IN,2011,14111,14089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553a,71687,27366.0,1.0,IN,2011,19745,19733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553b,71688,27367.0,1.0,IN,2011,7174,7204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553c,71686,27368.0,1.0,IN,2011,9638,9598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553d,71685,27369.0,1.0,IN,2011,18259,16192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553e,71681,27370.0,1.0,IN,2011,16448,12147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000553f,71685,27371.0,1.0,IN,2011,26671,23701,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005540,71686,27372.0,1.0,IN,2011,33789,32470,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005541,71686,27373.0,1.0,IN,2011,41191,39285,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005542,71687,27374.0,1.0,IN,2011,35750,33839,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005543,71731,27375.0,1.0,IN,2011,40712,33261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005544,71686,27376.0,1.0,IN,2011,32601,21927,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005545,71685,27377.0,1.0,IN,2011,36681,28233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005546,71676,27378.0,1.0,IN,2011,22778,22023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005547,71675,27379.0,1.0,IN,2011,12427,12360,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005548,71697,27380.0,1.0,IN,2011,18802,18844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005549,71685,27382.0,1.0,IN,2011,25069,24992,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554a,71682,27383.0,1.0,IN,2011,34390,34459,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554b,71686,27384.0,1.0,IN,2011,26477,26435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554c,71689,27385.0,1.0,IN,2011,35521,35564,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554d,71708,27386.0,1.0,IN,2011,39192,39178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554e,71689,27387.0,1.0,IN,2011,23558,23474,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000554f,71682,27388.0,1.0,IN,2011,10645,10325,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005550,71684,27389.0,1.0,IN,2011,21727,20883,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005551,71685,27390.0,1.0,IN,2011,24727,23646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005552,71672,27391.0,1.0,IN,2011,8742,8810,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005553,71691,27392.0,1.0,IN,2011,15228,14790,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005554,71688,27393.0,1.0,IN,2011,15500,15240,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005555,71688,27394.0,1.0,IN,2011,14960,14483,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005556,71685,27395.0,1.0,IN,2011,15759,15451,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005557,71684,27396.0,1.0,IN,2011,10273,10243,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005558,71729,27397.0,1.0,IN,2011,12593,12599,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005559,71690,27398.0,1.0,IN,2011,12425,12475,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000555a,71685,27399.0,1.0,IN,2011,11764,11728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000562c,71778,27630.0,1.0,IN,2011,23234,23275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000562d,71776,27631.0,1.0,IN,2011,20664,20668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000562e,71793,27632.0,1.0,IN,2011,22106,22051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000562f,71768,27633.0,1.0,IN,2011,36414,26794,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005630,71773,27634.0,1.0,IN,2011,30716,17826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005631,71783,27635.0,1.0,IN,2011,35531,29430,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005632,71782,27636.0,1.0,IN,2011,28962,23322,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005633,71776,27637.0,1.0,IN,2011,38322,35592,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005634,71782,27638.0,1.0,IN,2011,32923,29573,"{""type"":""MultiPoint"",""coordinates"":[]}"
