psim7,YieldEffect,model
1.4433916545942334,0.014141279229191492,WT_Jul_cor40
1.4630494828669178,0.013888918295574267,WT_Jul_cor40
1.4815556230284517,0.014034118907320065,WT_Jul_cor40
1.499442765820527,0.013883413065340168,WT_Jul_cor40
1.5170030112701147,0.013661770278001792,WT_Jul_cor40
1.5335593150122055,0.013640997900873267,WT_Jul_cor40
1.5501167848997222,0.013609944272140309,WT_Jul_cor40
1.5660618803788386,0.01355180616814955,WT_Jul_cor40
1.5821910340944054,0.01355042443377489,WT_Jul_cor40
1.5981096538041937,0.01346693689656571,WT_Jul_cor40
1.614539373185775,0.013446936508377923,WT_Jul_cor40
1.6300930369274675,0.013667777079004712,WT_Jul_cor40
1.645802506712831,0.013149581434057193,WT_Jul_cor40
1.660649995367455,0.012733710425039416,WT_Jul_cor40
1.6758042227145018,0.012639394103108742,WT_Jul_cor40
1.6904977453272283,0.012620294386002644,WT_Jul_cor40
1.7048814466562985,0.012273859443733208,WT_Jul_cor40
1.7197686799190168,0.01202206006081425,WT_Jul_cor40
1.7338816627032774,0.011646526808135355,WT_Jul_cor40
1.747551301815595,0.01161063041594329,WT_Jul_cor40
1.761806364873702,0.011236094859452088,WT_Jul_cor40
1.7753935223585158,0.011013835175005489,WT_Jul_cor40
1.7894480342615475,0.010720560752053993,WT_Jul_cor40
1.8028109466298328,0.010690884045793832,WT_Jul_cor40
1.817023182155193,0.010335350058023128,WT_Jul_cor40
1.83014101801403,0.009780995969207389,WT_Jul_cor40
1.84328399029158,0.009541890148188799,WT_Jul_cor40
1.8562403110888468,0.009197828011070393,WT_Jul_cor40
1.869913610213044,0.008832314262568051,WT_Jul_cor40
1.883688193351107,0.00885293869465617,WT_Jul_cor40
1.8974512585649288,0.008525345650013151,WT_Jul_cor40
1.911755213160536,0.00826161172683134,WT_Jul_cor40
1.925008960986535,0.007893617899940406,WT_Jul_cor40
1.9385092822649763,0.007485027158375429,WT_Jul_cor40
1.9521394729361088,0.006942837155746173,WT_Jul_cor40
1.9662229945866765,0.006322470682675482,WT_Jul_cor40
1.9799813438372111,0.006028856125693066,WT_Jul_cor40
1.993723505920528,0.005661225419656829,WT_Jul_cor40
2.007611799391934,0.0052792536525557016,WT_Jul_cor40
2.021591118595121,0.004900805564202686,WT_Jul_cor40
2.034766559292865,0.004507493932249924,WT_Jul_cor40
2.0488543223648783,0.0039791091709544466,WT_Jul_cor40
2.063086982767006,0.0037955795197855205,WT_Jul_cor40
2.077637054689445,0.0035938520619428135,WT_Jul_cor40
2.092020560591342,0.0033216975059202417,WT_Jul_cor40
2.106421461540924,0.0028577239800117657,WT_Jul_cor40
2.12145013123191,0.0021952303279872895,WT_Jul_cor40
2.136096077516941,0.0018527110206887076,WT_Jul_cor40
2.150565404696259,0.001154178099723513,WT_Jul_cor40
2.1657814602951495,2.436252660695734e-4,WT_Jul_cor40
2.1810557575092364,-5.742247800696598e-4,WT_Jul_cor40
2.196305676100145,-9.013541939945982e-4,WT_Jul_cor40
2.2124483606968885,-0.0016985335632820966,WT_Jul_cor40
2.2287276076971057,-0.0023329172079120733,WT_Jul_cor40
2.245835285936936,-0.002817853131026407,WT_Jul_cor40
2.2633918180505734,-0.0037385382024244934,WT_Jul_cor40
2.281156533458892,-0.004192783041613371,WT_Jul_cor40
2.2991207892311403,-0.004488131937265216,WT_Jul_cor40
2.316933695443212,-0.005440425089942656,WT_Jul_cor40
2.3361518921844135,-0.006828692902166207,WT_Jul_cor40
